id,idx
18481,0
43465,1
22480,2
52080,3
18482,4
26059,5
39631,6
17845,7
21727,8
52079,9
4157,10
43769,11
39232,12
48526,13
3597,14
6641,15
5461,16
9395,17
5315,18
9394,19
4152,20
3610,21
3373,22
5542,23
3591,24
4151,25
52052,26
5616,27
4044,28
38974,29
13207,30
4145,31
29095,32
12966,33
12969,34
5608,35
1832,36
6680,37
6829,38
6676,39
6674,40
6830,41
22524,42
40579,43
6744,44
3181,45
7581,46
3182,47
39233,48
8214,49
4168,50
41636,51
18474,52
27563,53
42129,54
41385,55
12711,56
9401,57
5248,58
43885,59
30202,60
30201,61
36922,62
41402,63
37856,64
36235,65
4045,66
43003,67
31312,68
42999,69
5628,70
1928,71
17841,72
3461,73
4174,74
37723,75
37780,76
37739,77
37781,78
37774,79
12955,80
37770,81
37771,82
46806,83
13205,84
37769,85
38822,86
39235,87
41591,88
41592,89
41596,90
40396,91
41594,92
41595,93
29091,94
46361,95
46360,96
13214,97
5556,98
37854,99
46362,100
46365,101
41597,102
36742,103
37263,104
42131,105
42846,106
46367,107
18473,108
3309,109
36741,110
4166,111
3151,112
42399,113
4156,114
39732,115
36733,116
46353,117
33061,118
43703,119
4154,120
42880,121
32588,122
41520,123
32587,124
41512,125
33751,126
32590,127
44913,128
47124,129
3150,130
41517,131
4146,132
34375,133
41593,134
35332,135
5243,136
7526,137
5242,138
42934,139
5726,140
42991,141
4164,142
24710,143
40436,144
5103,145
40219,146
53248,147
5631,148
32585,149
46352,150
38534,151
3306,152
40565,153
36914,154
32720,155
36907,156
42056,157
3846,158
6673,159
44880,160
30205,161
5630,162
7593,163
49564,164
27589,165
5646,166
42139,167
46344,168
44902,169
44893,170
3307,171
40269,172
34469,173
40272,174
11253,175
4155,176
6833,177
33941,178
44894,179
42035,180
17832,181
4565,182
44910,183
4144,184
3305,185
3325,186
27596,187
44882,188
42845,189
45941,190
45943,191
45942,192
33943,193
33935,194
30184,195
4037,196
40119,197
44918,198
42856,199
30183,200
44856,201
42124,202
26986,203
26987,204
26985,205
26984,206
4158,207
26982,208
4985,209
42933,210
44921,211
42886,212
42136,213
42881,214
18567,215
49562,216
44911,217
26983,218
40435,219
42857,220
34466,221
29504,222
18401,223
44900,224
4148,225
39622,226
40584,227
42993,228
4266,229
41765,230
1962,231
40596,232
7579,233
38565,234
4147,235
42843,236
27561,237
3371,238
42134,239
44890,240
27558,241
19319,242
43955,243
18483,244
35483,245
3298,246
42864,247
3296,248
41315,249
23858,250
47108,251
41313,252
4172,253
3303,254
45831,255
42146,256
41322,257
3304,258
41316,259
42935,260
41317,261
44803,262
47119,263
43560,264
40261,265
4171,266
33067,267
35049,268
40255,269
41587,270
42401,271
40382,272
15721,273
27012,274
45796,275
50419,276
33064,277
42842,278
39764,279
47101,280
42380,281
33058,282
41609,283
37742,284
33290,285
4169,286
36841,287
46963,288
46962,289
31317,290
37734,291
37726,292
42128,293
39071,294
33081,295
47114,296
42990,297
32246,298
3302,299
32247,300
31234,301
39230,302
33083,303
44883,304
39219,305
45931,306
4043,307
43889,308
46885,309
42885,310
46836,311
47105,312
43888,313
43887,314
45871,315
25242,316
42891,317
43818,318
27511,319
9051,320
10126,321
33057,322
49773,323
45872,324
43878,325
17847,326
13202,327
43817,328
29690,329
24702,330
5322,331
39226,332
39237,333
43876,334
38150,335
39216,336
4039,337
35036,338
33080,339
39222,340
41700,341
47019,342
30355,343
43681,344
46881,345
43680,346
49882,347
47091,348
39215,349
17827,350
34423,351
43891,352
32251,353
45817,354
46958,355
34428,356
42054,357
39218,358
44867,359
20897,360
45642,361
41699,362
46959,363
28955,364
41696,365
47113,366
42943,367
47095,368
35007,369
41701,370
4267,371
41695,372
45821,373
44866,374
43879,375
44014,376
8099,377
45815,378
43300,379
45887,380
43299,381
43301,382
44848,383
4047,384
31700,385
7244,386
32227,387
40400,388
7247,389
47087,390
49884,391
41693,392
41694,393
39720,394
35034,395
32721,396
35037,397
35035,398
30191,399
45898,400
43968,401
49894,402
37119,403
37141,404
40411,405
42848,406
49889,407
7242,408
7239,409
10037,410
37866,411
41303,412
43489,413
7241,414
44137,415
49890,416
45742,417
39236,418
44776,419
44777,420
26058,421
42852,422
7234,423
42049,424
33648,425
41472,426
41471,427
45748,428
44842,429
40224,430
34492,431
43816,432
42870,433
44040,434
43483,435
36909,436
6350,437
39721,438
44051,439
49846,440
49902,441
44125,442
44076,443
13211,444
3171,445
41909,446
49903,447
49893,448
5618,449
49868,450
44053,451
49888,452
5619,453
39225,454
45924,455
43880,456
41309,457
30206,458
32256,459
49897,460
25484,461
40421,462
42928,463
44843,464
46844,465
44018,466
42917,467
7243,468
14329,469
38524,470
34906,471
5958,472
44036,473
3844,474
7257,475
42926,476
49875,477
44056,478
44091,479
30574,480
37652,481
39063,482
45811,483
42922,484
8522,485
39758,486
5533,487
44042,488
45800,489
34908,490
4577,491
35478,492
5620,493
36638,494
39723,495
44112,496
3824,497
3823,498
43873,499
43874,500
46908,501
39728,502
49874,503
6349,504
39067,505
4046,506
43871,507
46850,508
49848,509
43978,510
42997,511
44420,512
20896,513
49845,514
45725,515
3847,516
3845,517
